"","entrezgene","gene.symbol","chromosome","description","type.of.gene","rapdb","msu"
"27552","107275401","LOC107275401","9","uncharacterized LOC107275401","protein-coding","Os09g0384100","LOC_Os09g21580"
"27553","107275354","LOC107275354","9","uncharacterized LOC107275354","protein-coding","Os09g0384300","LOC_Os09g21620"
"27554","4346943","LOC4346943","9","uncharacterized LOC4346943","protein-coding","Os09g0384900","LOC_Os09g21660"
"27555","107276492","LOC107276492","9","uncharacterized LOC107276492","protein-coding","Os09g0385000","LOC_Os09g21670"
"27556","107275523","LOC107275523","9","uncharacterized LOC107275523","protein-coding","Os09g0385600","LOC_Os09g21700"
"27557","4346945","LOC4346945","9","zinc finger AN1 domain-containing stress-associated protein 17-like","protein-coding","Os09g0385700","LOC_Os09g21710"
"27558","4346947","LOC4346947","9","uncharacterized LOC4346947","protein-coding","Os09g0385900","None"
"27559","4346948","LOC4346948","9","U-box domain-containing protein 40","protein-coding","Os09g0386200","LOC_Os09g21740"
"27560","4346949","LOC4346949","9","enhanced ethylene response protein 5","protein-coding","Os09g0386400","LOC_Os09g21760"
"27561","4346950","LOC4346950","9","chromatin remodeling protein EBS","protein-coding","Os09g0386500","LOC_Os09g21770"
"27562","4346951","LOC4346951","9","AUGMIN subunit 5","protein-coding","Os09g0386600","LOC_Os09g21780"
"27563","4346954","LOC4346954","9","uncharacterized LOC4346954","protein-coding","Os09g0387800","LOC_Os09g21900"
"27564","4346956","LOC4346956","9","endoribonuclease YBEY, chloroplastic","protein-coding","Os09g0388400","LOC_Os09g22000"
"27565","4346961","LOC4346961","9","uncharacterized LOC4346961","protein-coding","Os09g0392000","LOC_Os09g22440"
"27566","4346962","LOC4346962","9","protein EDS1L","protein-coding","Os09g0392100","LOC_Os09g22450"
"27567","107275631","LOC107275631","9","uncharacterized LOC107275631","protein-coding","Os09g0392200","LOC_Os09g22460"
"27568","4346966","LOC4346966","9","lysine-specific demethylase JMJ25","protein-coding","Os09g0393200","LOC_Os09g22540"
"27569","4346967","LOC4346967","9","malonyl-CoA decarboxylase, mitochondrial","protein-coding","Os09g0394100","LOC_Os09g23070"
"27570","4346968","LOC4346968","9","endoglucanase 22-like","protein-coding","Os09g0394300","LOC_Os09g23084"
"27571","107275739","LOC107275739","9","probable plastidic glucose transporter 1","protein-coding","Os09g0394500","LOC_Os09g23110"
"27572","4346970","LOC4346970","9","type IV inositol polyphosphate 5-phosphatase 9","protein-coding","Os09g0394600","LOC_Os09g23140"
"27573","4346971","LOC4346971","9","monoacylglycerol lipase","protein-coding","Os09g0394700","LOC_Os09g23150"
"27574","4346972","LOC4346972","9","annexin D5","protein-coding","Os09g0394900","LOC_Os09g23160"
"27575","107275912","LOC107275912","9","uncharacterized LOC107275912","protein-coding","Os09g0395000","LOC_Os09g23170"
"27576","4346973","LOC4346973","9","probable transcription factor RL9","protein-coding","Os09g0395300","LOC_Os09g23200"
"27577","4346975","LOC4346975","9","probable xyloglucan endotransglucosylase/hydrolase protein 28","protein-coding","Os09g0395600","LOC_Os09g23220"
"27578","107278266","LOC107278266","9","protein FAR1-RELATED SEQUENCE 5","protein-coding","Os09g0395700","LOC_Os09g23230"
"27579","4346976","LOC4346976","9","pyrrolidone-carboxylate peptidase","protein-coding","Os09g0396300","LOC_Os09g23280"
"27580","4346978","LOC4346978","9","vacuolar iron transporter 1.2-like","protein-coding","Os09g0396900","LOC_Os09g23300"
"27581","4346979","LOC4346979","9","uncharacterized LOC4346979","protein-coding","Os09g0397100","LOC_Os09g23334"
"27582","4346980","LOC4346980","9","uncharacterized LOC4346980","protein-coding","Os09g0397200","LOC_Os09g23340"
"27583","4346981","LOC4346981","9","alpha,alpha-trehalose-phosphate synthase [UDP-forming] 6","protein-coding","Os09g0397300","LOC_Os09g23350"
"27584","4346982","LOC4346982","9","protein trichome birefringence-like 14","protein-coding","Os09g0397400","LOC_Os09g23360"
"27585","4346983","LOC4346983","9","centromere protein V","protein-coding","Os09g0397700","LOC_Os09g23370"
"27586","4346985","LOC4346985","9","cleavage and polyadenylation specificity factor subunit 3-II","protein-coding","Os09g0397900","LOC_Os09g23380"
"27587","107278785","LOC107278785","9","uncharacterized LOC107278785","protein-coding","Os09g0398200","None"
"27588","4346988","LOC4346988","9","probable cinnamyl alcohol dehydrogenase 8A","protein-coding","Os09g0399800","LOC_Os09g23530"
"27589","4346989","LOC4346989","9","probable cinnamyl alcohol dehydrogenase 8B","protein-coding","Os09g0400000","LOC_Os09g23540"
"27590","9269515","LOC9269515","9","probable cinnamyl alcohol dehydrogenase 8C","protein-coding","Os09g0400300","LOC_Os09g23550"
"27591","4346993","LOC4346993","9","probable cinnamyl alcohol dehydrogenase 8D","protein-coding","Os09g0400400","LOC_Os09g23560"
"27592","4346994","LOC4346994","9","probable inactive receptor kinase RLK902","protein-coding","Os09g0400500","LOC_Os09g23570"
"27593","4346996","LOC4346996","9","uncharacterized LOC4346996","protein-coding","Os09g0400700","LOC_Os09g23590"
"27594","4346997","LOC4346997","9","transcription factor MYB20","protein-coding","Os09g0401000","LOC_Os09g23620"
"27595","4346998","LOC4346998","9","ABC transporter G family member 17","protein-coding","Os09g0401100","LOC_Os09g23640"
"27596","4346999","LOC4346999","9","TPR repeat-containing thioredoxin TDX-like","protein-coding","Os09g0401200","LOC_Os09g23650"
"27597","4347000","LOC4347000","9","protein TIFY 6b-like","protein-coding","Os09g0401300","LOC_Os09g23650"
"27598","4347001","LOC4347001","9","plant UBX domain-containing protein 2","protein-coding","Os09g0401600","LOC_Os09g23690"
"27599","4347002","LOC4347002","9","protein XRI1","protein-coding","Os09g0401900","LOC_Os09g23720"
"27600","4347003","LOC4347003","9","HMG-Y-related protein A","protein-coding","Os09g0402100","LOC_Os09g23730"
"27601","4347005","LOC4347005","9","putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1C","protein-coding","Os09g0402300","LOC_Os09g23740"
"27602","4347006","LOC4347006","9","uncharacterized protein At1g66480","protein-coding","Os09g0403000","LOC_Os09g23780"
"27603","9269428","LOC9269428","9","cytokinin hydroxylase","protein-coding","Os09g0403300","LOC_Os09g23820"
"27604","107278181","LOC107278181","9","uncharacterized protein OsI_031781","protein-coding","Os09g0404300","None"
"27605","9269563","LOC9269563","9","uncharacterized protein OsI_031781","protein-coding","Os09g0404400","LOC_Os09g23899"
"27606","107278177","LOC107278177","9","uncharacterized protein OsI_031781","protein-coding","Os09g0404500","LOC_Os09g23930"
"27607","107278180","LOC107278180","9","uncharacterized protein OsI_031781","protein-coding","Os09g0404600","None"
"27608","107278182","LOC107278182","9","uncharacterized protein OsI_031781","protein-coding","Os09g0404700","None"
"27609","9271263","LOC9271263","9","uncharacterized protein OsI_031781","protein-coding","Os09g0404800","LOC_Os09g23957"
"27610","107278178","LOC107278178","9","uncharacterized protein OsI_031781","protein-coding","Os09g0405001","LOC_Os09g23939"
"27611","9267115","LOC9267115","9","uncharacterized protein OsI_030282","protein-coding","Os09g0405200","LOC_Os09g23999"
"27612","4347009","LOC4347009","9","uncharacterized protein OsI_030282","protein-coding","Os09g0405300","None"
"27613","107278117","LOC107278117","9","uncharacterized protein OsI_030282","protein-coding","Os09g0405400","LOC_Os09g24020"
"27614","107278145","LOC107278145","9","uncharacterized protein OsI_030282","protein-coding","Os09g0405500","None"
"27615","107278144","LOC107278144","9","uncharacterized protein OsI_030282","protein-coding","Os09g0405600","LOC_Os09g24008"
"27616","107278044","LOC107278044","9","uncharacterized protein OsI_030282","protein-coding","Os09g0405900","LOC_Os09g24100"
"27617","9272242","LOC9272242","9","uncharacterized protein OsI_030282","protein-coding","Os09g0406000","LOC_Os09g24110"
"27618","4347011","LOC4347011","9","uncharacterized protein OsI_030282","protein-coding","Os09g0406100","LOC_Os09g24120"
"27619","9269860","LOC9269860","9","uncharacterized protein OsI_031781","protein-coding","Os09g0406200","LOC_Os09g24130"
"27620","107278179","LOC107278179","9","uncharacterized protein OsI_031781","protein-coding","Os09g0406300","LOC_Os09g24140"
"27621","4347012","LOC4347012","9","uncharacterized protein OsI_030282","protein-coding","Os09g0406400","LOC_Os09g24150"
"27622","107278011","LOC107278011","9","uncharacterized protein OsI_030282","protein-coding","Os09g0406500","LOC_Os09g24159"
"27623","4347014","LOC4347014","9","probable ubiquitin receptor RAD23","protein-coding","Os09g0407200","LOC_Os09g24200"
"27624","4347015","LOC4347015","9","sprT-like domain-containing protein Spartan","protein-coding","Os09g0407300","LOC_Os09g24210"
"27625","4347016","LOC4347016","9","DNA mismatch repair protein MSH6","protein-coding","Os09g0407600","LOC_Os09g24220"
"27626","4347017","LOC4347017","9","pentatricopeptide repeat-containing protein At4g02750","protein-coding","Os09g0407700","LOC_Os09g24230"
"27627","4347019","LOC4347019","9","U4/U6.U5 tri-snRNP-associated protein 2","protein-coding","Os09g0407900","LOC_Os09g24250"
"27628","4347020","LOC4347020","9","uncharacterized LOC4347020","protein-coding","Os09g0407950","LOC_Os09g24260"
"27629","107277693","LOC107277693","9","uncharacterized LOC107277693","protein-coding","Os09g0408300","LOC_Os09g24290"
"27630","107277236","LOC107277236","9","heavy metal-associated isoprenylated plant protein 8","protein-coding","Os09g0408550","LOC_Os09g24310"
"27631","4347022","LOC4347022","9","dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic","protein-coding","Os09g0408600","LOC_Os09g24320"
"27632","9271360","LOC9271360","9","putative receptor-like protein kinase At4g00960","protein-coding","Os09g0408900","LOC_Os09g24330"
"27633","4347026","LOC4347026","9","uncharacterized LOC4347026","protein-coding","Os09g0409000","LOC_Os09g24350"
"27634","4347027","LOC4347027","9","uncharacterized LOC4347027","protein-coding","Os09g0409100","LOC_Os09g24370"
"27635","4347029","LOC4347029","9","transcription initiation factor TFIID subunit 2","protein-coding","Os09g0409950","LOC_Os09g24440"
"27636","4347030","LOC4347030","9","uncharacterized LOC4347030","protein-coding","Os09g0410400","LOC_Os09g24460"
"27637","4347031","LOC4347031","9","transcription factor TB1-like","protein-coding","Os09g0410500","LOC_Os09g24480"
"27638","4347032","LOC4347032","9","transcription factor bHLH30","protein-coding","Os09g0410700","LOC_Os09g24490"
"27639","9272171","LOC9272171","9","uncharacterized LOC9272171","protein-coding","Os09g0411500","None"
"27640","4347034","LOC4347034","9","pentatricopeptide repeat-containing protein At5g56310","protein-coding","Os09g0411600","LOC_Os09g24520"
"27641","9266797","LOC9266797","9","fructose-bisphosphate aldolase-lysine N-methyltransferase, chloroplastic","protein-coding","Os09g0411650","LOC_Os09g24530"
"27642","4347035","LOC4347035","9","peptidyl-prolyl cis-trans isomerase NIMA-interacting 4","protein-coding","Os09g0411700","LOC_Os09g24540"
"27643","4347036","LOC4347036","9","NAC domain-containing protein 79","protein-coding","Os09g0411900","LOC_Os09g24560"
"27644","107275695","LOC107275695","9","SKP1-like protein 1A","protein-coding","Os09g0412050","None"
"27645","4347038","LOC4347038","9","O-fucosyltransferase 31","protein-coding","Os09g0412200","LOC_Os09g24570"
"27646","4347040","LOC4347040","9","uncharacterized LOC4347040","protein-coding","Os09g0412400","LOC_Os09g24590"
"27647","4347042","LOC4347042","9","uncharacterized LOC4347042","protein-coding","Os09g0412700","LOC_Os09g24620"
"27648","4347043","LOC4347043","9","pentatricopeptide repeat-containing protein At2g36730","protein-coding","Os09g0412900","LOC_Os09g24640"
"27649","4347044","LOC4347044","9","uncharacterized LOC4347044","protein-coding","Os09g0413000","LOC_Os09g24650"
"27650","4347045","LOC4347045","9","activating signal cointegrator 1","protein-coding","Os09g0413100","LOC_Os09g24660"
"27651","4347046","LOC4347046","9","uncharacterized LOC4347046","protein-coding","Os09g0413200","LOC_Os09g24670"
"27652","4347047","LOC4347047","9","pentatricopeptide repeat-containing protein At1g74600, chloroplastic","protein-coding","Os09g0413300","LOC_Os09g24680"
"27653","9267671","LOC9267671","9","60S ribosomal protein L34","protein-coding","Os09g0413500","LOC_Os09g24690"
"27654","4347050","LOC4347050","9","uncharacterized LOC4347050","protein-coding","Os09g0413600","LOC_Os09g24700"
"27655","4347051","LOC4347051","9","uncharacterized LOC4347051","protein-coding","Os09g0413700","LOC_Os09g24710"
"27656","4347053","LOC4347053","9","mini zinc finger protein 2-like","protein-coding","Os09g0414500","LOC_Os09g24810"
"27657","4347054","LOC4347054","9","zinc-finger homeodomain protein 9-like","protein-coding","Os09g0414600","LOC_Os09g24820"
"27658","4347055","LOC4347055","9","gibberellin-regulated protein 12","protein-coding","Os09g0414900","LOC_Os09g24840"
"27659","107277671","LOC107277671","9","uncharacterized LOC107277671","protein-coding","Os09g0414950","LOC_Os09g24850"
"27660","9266409","LOC9266409","9","uncharacterized LOC9266409","protein-coding","Os09g0415300","LOC_Os09g24870"
"27661","4347059","LOC4347059","9","probable methyltransferase PMT2","protein-coding","Os09g0415700","LOC_Os09g24900"
"27662","4347060","LOC4347060","9","ATP-dependent 6-phosphofructokinase 5, chloroplastic","protein-coding","Os09g0415800","LOC_Os09g24910"
"27663","4347061","LOC4347061","9","sugar transport protein 7","protein-coding","Os09g0416200","LOC_Os09g24924"
"27664","4347062","LOC4347062","9","ribonuclease 3-like protein 1","protein-coding","Os09g0416500","LOC_Os09g24954"
"27665","9269387","LOC9269387","9","uncharacterized LOC9269387","protein-coding","Os09g0416600","LOC_Os09g24970"
"27666","4347065","LOC4347065","9","Golgi SNAP receptor complex member 1-1","protein-coding","Os09g0416700","LOC_Os09g24980"
"27667","4347066","LOC4347066","9","probable CCR4-associated factor 1 homolog 7","protein-coding","Os09g0416800","LOC_Os09g24990"
"27668","4347067","LOC4347067","9","protein spotted leaf 11","protein-coding","Os09g0416900","LOC_Os09g25000"
"27669","9272478","LOC9272478","9","transcription factor UNE12","protein-coding","Os09g0417400","LOC_Os09g25040"
"27670","4347068","LOC4347068","9","pentatricopeptide repeat-containing protein At5g61400","protein-coding","Os09g0417500","LOC_Os09g25050"
"27671","4347069","LOC4347069","9","WRKY transcription factor WRKY76-like","protein-coding","Os09g0417600","LOC_Os09g25060"
"27672","4347070","LOC4347070","9","WRKY transcription factor WRKY62-like","protein-coding","Os09g0417800","LOC_Os09g25070"
"27673","4347071","LOC4347071","9","CBL-interacting protein kinase 16-like","protein-coding","Os09g0418000","LOC_Os09g25090"
"27674","4347072","LOC4347072","9","putative CBL-interacting protein kinase 27","protein-coding","Os09g0418500","LOC_Os09g25100"
"27675","4347074","LOC4347074","9","cinnamoyl-CoA reductase 1","protein-coding","Os09g0419200","LOC_Os09g25150"
"27676","4347076","LOC4347076","9","probable E3 ubiquitin-protein ligase RNF144A-B","protein-coding","Os09g0419500","LOC_Os09g25190"
"27677","4347077","LOC4347077","9","E3 ubiquitin-protein ligase RNF144A","protein-coding","Os09g0419600","LOC_Os09g25200"
"27678","4347078","LOC4347078","9","E3 ubiquitin-protein ligase RNF144A","protein-coding","Os09g0420000","LOC_Os09g25220"
"27679","4347079","LOC4347079","9","probable E3 ubiquitin-protein ligase RNF144A-B","protein-coding","Os09g0420100","LOC_Os09g25260"
"27680","112936483","LOC112936483","9","uncharacterized LOC112936483","protein-coding","Os09g0420200","LOC_Os09g25270"
"27681","4347081","LOC4347081","9","probable GMP synthase [glutamine-hydrolyzing]","protein-coding","Os09g0420300","LOC_Os09g25290"
"27682","4347083","LOC4347083","9","26S proteasome non-ATPase regulatory subunit 9","protein-coding","Os09g0420600","LOC_Os09g25310"
"27683","4347084","LOC4347084","9","uncharacterized LOC4347084","protein-coding","Os09g0420700","LOC_Os09g25314"
"27684","4347085","LOC4347085","9","ubiquitin-NEDD8-like protein RUB1","protein-coding","Os09g0420800","LOC_Os09g25320"
"27685","4347086","LOC4347086","9","BTB/POZ domain-containing protein NPY1","protein-coding","Os09g0420900","LOC_Os09g25330"
"27686","4347088","LOC4347088","9","kinesin-like protein KIN-7I","protein-coding","Os09g0421166","LOC_Os09g25380"
"27687","4347089","LOC4347089","9","phospholipase D alpha 1","protein-coding","Os09g0421300","LOC_Os09g25390"
"27688","107277017","LOC107277017","9","uncharacterized LOC107277017","protein-coding","Os09g0421400","LOC_Os09g25400"
"27689","4347090","LOC4347090","9","uncharacterized LOC4347090","protein-coding","Os09g0421500","LOC_Os09g25410"
"27690","4347091","LOC4347091","9","zinc finger RNA-binding protein","protein-coding","Os09g0421700","LOC_Os09g25430"
"27691","9267827","LOC9267827","9","zinc finger protein 385D","protein-coding","Os09g0421800","LOC_Os09g25440"
"27692","4347092","LOC4347092","9","putrescine hydroxycinnamoyltransferase 1-like","protein-coding","Os09g0422000","LOC_Os09g25460"
"27693","4347093","LOC4347093","9","cellulose synthase A catalytic subunit 9 [UDP-forming]-like","protein-coding","Os09g0422500","LOC_Os09g25490"
"27694","4347094","LOC4347094","9","AUGMIN subunit 8","protein-coding","Os09g0422600","LOC_Os09g25500"
"27695","9270998","LOC9270998","9","putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g24130","protein-coding","Os09g0423200","LOC_Os09g25540"
"27696","4347096","LOC4347096","9","pentatricopeptide repeat-containing protein At4g30825, chloroplastic","protein-coding","Os09g0423300","LOC_Os09g25550"
"27697","4347097","LOC4347097","9","probable folate-biopterin transporter 6","protein-coding","Os09g0423400","LOC_Os09g25560"
"27698","4347098","LOC4347098","9","aspartyl protease family protein At5g10770","protein-coding","Os09g0423500","LOC_Os09g25570"
"27699","4347099","LOC4347099","9","probable monogalactosyldiacylglycerol synthase 1, chloroplastic","protein-coding","Os09g0423600","LOC_Os09g25580"
"27700","4347100","LOC4347100","9","uncharacterized LOC4347100","protein-coding","Os09g0423700","LOC_Os09g25590"
"27701","4347101","LOC4347101","9","AP2-like ethylene-responsive transcription factor At1g16060","protein-coding","Os09g0423800","LOC_Os09g25600"
"27702","4347102","LOC4347102","9","gamma-glutamyl peptidase 3","protein-coding","Os09g0424200","LOC_Os09g25610"
"27703","4347103","LOC4347103","9","S-adenosylmethionine decarboxylase proenzyme","protein-coding","Os09g0424300","LOC_Os09g25620"
"27704","4347105","LOC4347105","9","5'-nucleotidase domain-containing protein DDB_G0275467","protein-coding","Os09g0424600","LOC_Os09g25640"
"27705","107277641","LOC107277641","9","protein GAMETE EXPRESSED 2","protein-coding","Os09g0424701","LOC_Os09g25650"
"27706","4347106","LOC4347106","9","keratin-associated protein 6-2","protein-coding","Os09g0425200","LOC_Os09g25690"
"27707","4347107","LOC4347107","9","protein TsetseEP","protein-coding","Os09g0425300","LOC_Os09g25700"
"27708","107277917","LOC107277917","9","WAS/WASL-interacting protein family member 3","protein-coding","Os09g0425450","None"
"27709","4347111","LOC4347111","9","tetraspanin-8","protein-coding","Os09g0425900","LOC_Os09g25760"
"27710","4347112","LOC4347112","9","WAT1-related protein At4g28040","protein-coding","Os09g0426000","LOC_Os09g25770"
"27711","4347113","LOC4347113","9","WAT1-related protein At4g30420","protein-coding","Os09g0426100","LOC_Os09g25784"
"27712","107276436","LOC107276436","9","WAT1-related protein At4g30420","protein-coding","Os09g0426200","LOC_Os09g25800"
"27713","9270697","LOC9270697","9","WAT1-related protein At4g30420","protein-coding","Os09g0426500","LOC_Os09g25810"
"27714","4347115","LOC4347115","9","protein ECERIFERUM 3","protein-coding","Os09g0426800","LOC_Os09g25850"
"27715","9266325","LOC9266325","9","uncharacterized LOC9266325","protein-coding","Os09g0427300","LOC_Os09g25880"
"27716","9268811","LOC9268811","9","probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 8","protein-coding","Os09g0427800","LOC_Os09g25890"
"27717","4347118","LOC4347118","9","probable xyloglucan glycosyltransferase 2","protein-coding","Os09g0428000","LOC_Os09g25900"
"27718","107275801","LOC107275801","9","basic 7S globulin","protein-coding","Os09g0428200","LOC_Os09g25910"
"27719","4347119","LOC4347119","9","glutamate receptor 2.8","protein-coding","Os09g0428300","None"
"27720","107276835","LOC107276835","9","glutamate receptor 2.8","protein-coding","Os09g0428600","None"
"27721","4347121","LOC4347121","9","uncharacterized LOC4347121","protein-coding","Os09g0428900","LOC_Os09g25950"
"27722","107275786","LOC107275786","9","glutamate receptor 2.8","protein-coding","Os09g0429000","LOC_Os09g25960"
"27723","107275886","LOC107275886","9","glutamate receptor 2.3","protein-coding","Os09g0429200","LOC_Os09g25980"
"27724","4347123","LOC4347123","9","glutamate receptor 2.8","protein-coding","Os09g0429400","LOC_Os09g25990"
"27725","107275670","LOC107275670","9","glutamate receptor 2.8","protein-coding","Os09g0429500","LOC_Os09g26000"
"27726","107275385","LOC107275385","9","zinc finger protein GIS3","protein-coding","Os09g0430600","LOC_Os09g26100"
"27727","4347125","LOC4347125","9","glutamate receptor 2.8","protein-coding","Os09g0431100","LOC_Os09g26144"
"27728","4347126","LOC4347126","9","glutamate receptor 2.9","protein-coding","Os09g0431200","LOC_Os09g26160"
"27729","107276247","LOC107276247","9","transcription factor MYB36","protein-coding","Os09g0431300","LOC_Os09g26170"
"27730","4347127","LOC4347127","9","transcription initiation factor TFIID subunit 10","protein-coding","Os09g0431500","LOC_Os09g26180"
"27731","4347128","LOC4347128","9","pentatricopeptide repeat-containing protein At5g10690","protein-coding","Os09g0431600","LOC_Os09g26190"
"27732","107278629","LOC107278629","9","zinc finger protein 2","protein-coding","Os09g0431750","LOC_Os09g26200"
"27733","9267830","LOC9267830","9","zinc finger protein 2","protein-coding","Os09g0431900","LOC_Os09g26210"
"27734","107278341","LOC107278341","9","UPF0098 protein TC_0109-like","protein-coding","Os09g0432231","LOC_Os09g26250"
"27735","4347129","LOC4347129","9","AAA-ATPase At5g57480","protein-coding","Os09g0432300","LOC_Os09g26260"
"27736","4347131","LOC4347131","9","hydroxyproline O-galactosyltransferase GALT3","protein-coding","Os09g0432900","LOC_Os09g26300"
"27737","4347132","LOC4347132","9","beta-1,3-galactosyltransferase pvg3","protein-coding","Os09g0433000","LOC_Os09g26310"
"27738","107275827","LOC107275827","9","beta-1,3-galactosyltransferase 6","protein-coding","Os09g0433500","LOC_Os09g26330"
"27739","4347135","LOC4347135","9","histone H4","protein-coding","Os09g0433600","LOC_Os09g26340"
"27740","9271636","LOC9271636","9","uncharacterized LOC9271636","protein-coding","Os09g0433650","LOC_Os09g26350"
"27741","4347136","LOC4347136","9","pectinesterase","protein-coding","Os09g0433700","LOC_Os09g26360"
"27742","4347137","LOC4347137","9","uncharacterized LOC4347137","protein-coding","Os09g0433800","LOC_Os09g26370"
"27743","4347138","LOC4347138","9","alanine aminotransferase 2","protein-coding","Os09g0433900","LOC_Os09g26380"
"27744","4347140","LOC4347140","9","AT-rich interactive domain-containing protein 4","protein-coding","Os09g0434000","LOC_Os09g26390"
"27745","4347141","LOC4347141","9","E3 ubiquitin-protein ligase AIP2","protein-coding","Os09g0434200","LOC_Os09g26400"
"27746","4347142","LOC4347142","9","ethylene-responsive transcription factor 1-like","protein-coding","Os09g0434500","LOC_Os09g26420"
"27747","4347143","LOC4347143","9","uncharacterized LOC4347143","protein-coding","Os09g0434600","LOC_Os09g26430"
"27748","4347144","LOC4347144","9","probable E3 ubiquitin-protein ligase RNF217","protein-coding","Os09g0434900","LOC_Os09g26460"
"27749","107277883","LOC107277883","9","probable E3 ubiquitin-protein ligase RNF217","protein-coding","Os09g0435250","LOC_Os09g26470"
"27750","107277473","LOC107277473","9","uncharacterized LOC107277473","protein-coding","Os09g0435400","LOC_Os09g26480"
"27751","107275342","LOC107275342","9","probable carboxylesterase 2","protein-coding","Os09g0435700","LOC_Os09g26500"
"27752","4347145","LOC4347145","9","uncharacterized LOC4347145","protein-coding","Os09g0436000","LOC_Os09g26530"
"27753","4347147","LOC4347147","9","uncharacterized LOC4347147","protein-coding","Os09g0436300","LOC_Os09g26540"
"27754","4347149","LOC4347149","9","putative protease Do-like 14","protein-coding","Os09g0436400","LOC_Os09g26550"
"27755","4347151","LOC4347151","9","uncharacterized LOC4347151","protein-coding","Os09g0436700","LOC_Os09g26560"
"27756","4347152","LOC4347152","9","uncharacterized LOC4347152","protein-coding","Os09g0436800","LOC_Os09g26570"
"27757","4347153","LOC4347153","9","uncharacterized LOC4347153","protein-coding","Os09g0436900","LOC_Os09g26580"
"27758","9266483","LOC9266483","9","serine, glycine and glutamine-rich protein","protein-coding","Os09g0437100","LOC_Os09g26590"
"27759","4347154","LOC4347154","9","auxin-responsive protein SAUR36-like","protein-coding","Os09g0437400","LOC_Os09g26610"
"27760","4347155","LOC4347155","9","dormancy-associated protein homolog 3","protein-coding","Os09g0437500","LOC_Os09g26620"
"27761","4347157","LOC4347157","9","2Fe-2S ferredoxin","protein-coding","Os09g0437900","LOC_Os09g26650"
"27762","4347158","LOC4347158","9","respiratory burst oxidase homolog protein E","protein-coding","Os09g0438000","LOC_Os09g26660"
"27763","4347159","LOC4347159","9","uncharacterized LOC4347159","protein-coding","Os09g0438100","LOC_Os09g26670"
"27764","4347160","LOC4347160","9","probable ethanolamine kinase","protein-coding","Os09g0438400","LOC_Os09g26700"
"27765","107278099","LOC107278099","9","uncharacterized LOC107278099","protein-coding","Os09g0438500","LOC_Os09g26710"
"27766","4347161","LOC4347161","9","20 kDa chaperonin, chloroplastic","protein-coding","Os09g0438700","LOC_Os09g26730"
"27767","4347162","LOC4347162","9","uncharacterized LOC4347162","protein-coding","Os09g0439000","LOC_Os09g26760"
"27768","107277421","LOC107277421","9","50S ribosomal protein L18","protein-coding","Os09g0439050","LOC_Os09g26770"
"27769","4347164","LOC4347164","9","protein TIFY 10c-like","protein-coding","Os09g0439200","LOC_Os09g26780"
"27770","4347165","LOC4347165","9","probable polygalacturonase","protein-coding","Os09g0439400","LOC_Os09g26800"
"27771","4347166","LOC4347166","9","photosystem I chlorophyll a/b-binding protein 6, chloroplastic","protein-coding","Os09g0439500","LOC_Os09g26810"
"27772","4347167","LOC4347167","9","exocyst complex component EXO70A1","protein-coding","Os09g0439600","LOC_Os09g26820"
"27773","4347168","LOC4347168","9","transmembrane protein 87A","protein-coding","Os09g0439700","LOC_Os09g26830"
"27774","4347169","LOC4347169","9","uncharacterized LOC4347169","protein-coding","Os09g0439800","LOC_Os09g26840"
"27775","4347171","LOC4347171","9","uncharacterized LOC4347171","protein-coding","Os09g0440200","LOC_Os09g26870"
"27776","4347172","LOC4347172","9","aldehyde dehydrogenase family 7 member A1","protein-coding","Os09g0440300","LOC_Os09g26880"
"27777","4347173","LOC4347173","9","copper transporter 5.1-like","protein-coding","Os09g0440700","LOC_Os09g26900"
"27778","4347174","LOC4347174","9","subtilisin-like protease SBT1.8","protein-coding","Os09g0441000","LOC_Os09g26920"
"27779","4347175","LOC4347175","9","flavonoid 3'-monooxygenase","protein-coding","Os09g0441100","LOC_Os09g26940"
"27780","4347176","LOC4347176","9","cytochrome P450 71A1","protein-coding","Os09g0441400","LOC_Os09g26960"
"27781","107277843","LOC107277843","9","cytochrome P450 71A1","protein-coding","Os09g0441600","LOC_Os09g26970"
"27782","9271796","LOC9271796","9","cytochrome P450 71A1","protein-coding","Os09g0441700","LOC_Os09g26980"
"27783","4347178","LOC4347178","9","keratin-associated protein 5-5","protein-coding","Os09g0441900","LOC_Os09g26999"
"27784","107277095","LOC107277095","9","uncharacterized LOC107277095","protein-coding","Os09g0442000","None"
"27785","4347179","LOC4347179","9","serine/threonine-protein kinase RIPK","protein-coding","Os09g0442100","LOC_Os09g27010"
"27786","4347180","LOC4347180","9","oryzain gamma chain-like","protein-coding","Os09g0442300","LOC_Os09g27030"
"27787","4347181","LOC4347181","9","protein GAMETE EXPRESSED 1","protein-coding","Os09g0442400","LOC_Os09g27040"
"27788","4347182","LOC4347182","9","probable GTP diphosphokinase RSH3, chloroplastic","protein-coding","Os09g0442600","LOC_Os09g27050"
"27789","4347183","LOC4347183","9","ATP-dependent DNA helicase DDM1","protein-coding","Os09g0442700","LOC_Os09g27060"
